name,ra,dec,quality,quality_category
2512_19_0_line5956,115.5917605,64.642662554,2,2
2191_1_0_line11382__EON_181.762_40.200,181.7619258725,40.199905715250004,2,1
798_36_0_line562,7.8151236543,-22.5596903875,3,2
1892_86_1_line12354,192.58292245,27.323999067,2,1
EON_186.281_19.130,186.281433,19.129799,2,1
1820_73_1_line16311,240.8072442875,23.00832516175,3,1
2249_81_0_line7481,136.9776915875,47.33887028825,2,1
1624_22_2_line7725,140.2113900475,13.19120127625,1,1
2377_68_0_line11304,180.893260845,54.78638496975,3,2
1802_24_1_line9608__EON_163.116_20.970,163.1161307825,20.97038344875,3,1
EON_195.964_12.384,195.963516,12.384428,3,2
1506_1_0_line1641__EON_21.432_8.040,21.432328121624998,8.0401443079,1,1
1709_89_0_line6868,127.9103709425,19.5612626345,2,1
1983_29_0_line16180,239.37684723,28.9070704285,2,1
EON_197.297_46.316,197.296921,46.316223,3,2
1562_61_0_line17022,248.3019524625,10.6495153375,3,1
EON_21.518_-21.198,21.518005,-21.198309,2,1
EON_198.539_17.367,198.539398,17.367307999999998,1,1
2053_1_1_line13923,210.2425807375,32.378107684,3,1
EON_205.817_55.616,205.817078,55.615788,2,2
1315_14_0_line20772,332.164710345,-3.35327014545,1,1
1955_18_1_line5772,112.2906354375,28.56145816275,2,1
1401_26_0_line19914,315.4917766525,1.12903225295,3,1
1589_47_1_line22329__EON_354.921_9.759,354.9206788575,9.759064920025,2,1
892_27_0_line3398,48.96704637725001,-19.11223673125,2,1
1810_16_0_line12732,196.3509536975,20.418748927,2,1
1895_21_0_line13734__EON_208.059_25.096,208.058520205,25.096419970124998,2,1
EON_174.714_48.088,174.71443200000004,48.087704,2,1
2040_56_1_line8162,146.0234355475,34.08149850125,2,2
1715_0_0_line9029,156.6526595675,16.13779083025,2,1
1762_13_0_line22139,352.38292889,16.42968524875,3,1
978_96_0_line3370,48.329557165749996,-12.37866238625,3,2
1386_35_0_line17587,255.98394154,1.39762336305,1,1
2273_33_0_line18400,270.6426182975,45.212472119,3,2
2366_95_0_line5697,110.78427974,55.62744382975001,1,1
1335_48_0_line3495,50.6498540975,1.821386388375,2,1
EON_202.276_57.595,202.275848,57.594666,3,1
1679_66_0_line269__EON_3.667_18.582,3.6669113890875,18.581926241875,2,2
EON_10.057_7.170,10.056877,7.169527,2,1
1587_52_0_line21902,348.91652179,10.16279024025,2,2
1498_85_0_line21831,347.7826212475,7.4065649475,2,1
1707_58_2_line6284,119.944328825,18.40177746575,2,2
1225_15_1_line20703,331.2990180075,-7.272702001625,3,2
EON_345.297_7.142,345.297272,7.142311,2,1
1817_86_2_line15252__EON_226.411_23.384,226.41073989125,23.384293231750004,1,1
1188_41_0_line11539,183.3840839075,-6.400542324725,2,2
1143_95_0_line22715,359.7948587966671,-4.1917655527,2,2
1554_31_0_line14376,215.65215207,9.349908639375,2,1
2583_64_0_line9455,161.5043336775,74.71138295600001,2,2
