#    radius         i1         i2         i3         i4       mean        std 
        7.0      0.940      1.034      1.453      1.182      1.152     0.194
        8.8      0.825      0.883      1.214      0.985      0.977     0.149
       10.6      0.732      0.768      0.987      0.856      0.836     0.098
       12.5      0.635      0.592      0.808      0.753      0.697     0.087
       14.1      0.564      0.520      0.698      0.666      0.612     0.073
       15.9      0.509      0.471      0.598      0.583      0.540     0.053
       16.9      0.489      0.441      0.554      0.550      0.509     0.046
       18.2      0.356      0.384      0.476      0.452      0.417     0.049
       19.8      0.295      0.372      0.463      0.383      0.378     0.059
       21.6      0.249      0.271      0.370      0.334      0.306     0.048
       23.3      0.194      0.235      0.342      0.290      0.266     0.056
       24.7      0.234      0.180      0.292      0.302      0.252     0.049
