#    radius         i1         i2         i3         i4       mean        std 
        9.4     28.643     27.940     44.753     57.020     39.589    12.104
       10.9     30.287     26.753     38.062     51.319     36.605     9.429
       12.2     31.564     27.507     35.914     45.929     35.229     6.856
       13.4     32.237     27.514     36.921     43.910     35.145     6.055
       14.8     33.220     25.882     33.618     45.165     34.471     6.900
       15.5     33.369     26.576     33.617     43.614     34.294     6.078
       16.8     31.693     29.358     33.275     40.518     33.711     4.170
       18.0     30.936     32.089     32.093     38.892     33.503     3.147
       19.3     30.345     33.000     32.276     38.188     33.452     2.901
       23.1     28.172     31.945     34.974     37.947     33.260     3.623
       24.5     26.823     31.664     36.707     36.867     33.015     4.142
