#    radius       xcen       ycen        ell         pa 
        2.0     79.600     25.200      0.600      1.000 
        4.0     79.600     25.200      0.600      1.000 
        6.0     79.600     25.200      0.600      1.000 
        8.0     79.600     25.200      0.600      1.000 
       10.0     79.600     25.200      0.600      1.000 
       12.0     79.600     25.200      0.600      1.000 
       14.0     79.600     25.200      0.600      1.000 
       16.0     79.600     25.200      0.600      1.000 
       18.0     79.600     25.200      0.600      1.000 
       20.0     79.600     25.200      0.600      1.000 
       22.0     79.600     25.200      0.600      1.000 
       24.0     79.600     25.200      0.600      1.000 
       25.0     79.600     25.200      0.600      1.000 
       27.0     79.600     25.200      0.600      1.000 
       29.0     79.600     25.200      0.600      1.000 
       31.0     79.600     25.200      0.600      1.000 
       33.0     79.600     25.200      0.600      1.000 
       35.0     79.600     25.200      0.600      1.000 
       37.0     79.600     25.200      0.600      1.000 
       39.0     79.600     25.200      0.600      1.000 
