#    radius       xcen       ycen        ell         pa 
        2.0     84.783     27.061     10.000     -1.000 
        4.0     84.783     27.061     10.000     -1.000 
        5.0     84.783     27.061     10.000     -1.000 
        7.0     84.783     27.061     10.000     -1.000 
        9.0     84.783     27.061     10.000     -1.000 
       11.0     84.783     27.061     10.000     -1.000 
       13.0     84.783     27.061     10.000     -1.000 
       15.0     84.783     27.061     10.000     -1.000 
       17.0     84.783     27.061     10.000     -1.000 
       19.0     84.783     27.061     10.000     -1.000 
