#    radius         i1         i2         i3         i4       mean        std 
        5.5     30.569     21.781     38.603     56.381     36.834    12.758
        6.1     31.475     23.400     38.936     53.749     36.890    11.177
        7.3     31.443     24.721     38.196     48.784     35.786     8.889
        8.6     31.623     25.433     37.152     45.844     35.013     7.503
        9.8     31.788     26.955     36.710     44.261     34.929     6.398
       11.1     31.750     27.564     36.100     42.275     34.422     5.447
       12.3     31.949     28.065     35.875     41.359     34.312     4.917
       13.6     31.898     28.387     35.757     40.394     34.109     4.468
       14.9     31.940     28.698     35.390     39.668     33.924     4.074
       16.1     32.017     29.110     35.334     39.042     33.876     3.708
       17.3     32.091     29.341     35.384     38.604     33.855     3.478
       18.6     32.029     29.501     34.885     37.963     33.595     3.160
       19.9     32.116     29.661     34.714     37.696     33.547     2.988
       21.0     32.571     30.246     35.071     37.823     33.928     2.823
       22.4     32.130     30.096     34.598     37.041     33.466     2.608
       23.6     32.162     30.222     34.480     36.768     33.408     2.457
