#    radius       xcen       ycen        ell         pa 
        3.0     52.600     20.000      0.600      1.000 
        5.0     52.600     20.000      0.600      1.000 
        7.0     52.600     20.000      0.600      1.000 
        9.0     52.600     20.000      0.600      1.000 
       10.0     52.600     20.000      0.600      1.000 
       12.0     52.600     20.000      0.600      1.000 
       14.0     52.600     20.000      0.600      1.000 
       16.0     52.600     20.000      0.600      1.000 
       18.0     52.600     20.000      0.600      1.000 
       20.0     52.600     20.000      0.600      1.000 
       22.0     52.600     20.000      0.600      1.000 
       24.0     52.600     20.000      0.600      1.000 
       26.0     52.600     20.000      0.600      1.000 
       28.0     52.600     20.000      0.600      1.000 
       30.0     52.600     20.000      0.600      1.000 
       32.0     52.600     20.000      0.600      1.000 
       34.0     52.600     20.000      0.600      1.000 
       36.0     52.600     20.000      0.600      1.000 
       38.0     52.600     20.000      0.600      1.000 
