#    radius         i1         i2         i3         i4       mean        std 
        5.5      1.096      1.156      1.354      1.305      1.228     0.105
        6.1      1.037      1.096      1.282      1.234      1.162     0.099
        7.3      0.939      0.988      1.159      1.114      1.050     0.090
        8.6      0.845      0.894      1.045      1.005      0.947     0.081
        9.8      0.762      0.801      0.941      0.903      0.852     0.073
       11.1      0.690      0.724      0.851      0.816      0.770     0.065
       12.3      0.622      0.652      0.767      0.735      0.694     0.059
       13.6      0.561      0.587      0.691      0.661      0.625     0.053
       14.9      0.508      0.531      0.624      0.597      0.565     0.047
       16.1      0.457      0.478      0.563      0.538      0.509     0.043
       17.3      0.412      0.431      0.507      0.485      0.458     0.039
       18.6      0.373      0.389      0.458      0.438      0.414     0.035
       19.9      0.336      0.350      0.413      0.394      0.373     0.031
       21.0      0.301      0.314      0.371      0.354      0.335     0.028
       22.4      0.273      0.285      0.335      0.320      0.303     0.025
       23.6      0.247      0.257      0.303      0.289      0.274     0.023
